prompt,label
What is the capital of Japan?,0
Tell me a joke.,0
Translate 'hello' to Spanish.,0
What time is it?,0
How are you today?,0
Who is the president of the US?,0
What is 5 + 7?,0
Is 'Inception' a good movie?,0
Summarize this sentence: The cat sat on the mat.,0
Define 'apple'.,0
What color is the sky?,0
Say hello to me.,0
What is the weather usually like in summer?,0
Name a fruit.,0
How many days in a week?,0
What is 10 divided by 2?,0
Is Paris in France?,0
Give me a synonym for 'happy'.,0
What is the boiling point of water?,0
Who wrote Hamlet?,0
Translate 'thank you' to French.,0
What is the largest ocean?,0
How many continents are there?,0
What is 100 - 45?,0
Can you say good morning?,0
Is 5 greater than 3?,0
What is the opposite of 'hot'?,0
Name a popular pet.,0
What do cows drink?,0
How many hours in a day?,0
What is the freezing point of water?,0
Give me a random number between 1 and 10.,0
What is the capital of Italy?,0
Who painted the Mona Lisa?,0
What is 3 multiplied by 4?,0
Is the earth round?,0
Name a primary color.,0
What is the first letter of the alphabet?,0
How do you spell 'cat'?,0
What is the capital of Germany?,0
What is 20 + 30?,0
Who is Mickey Mouse?,0
What is the color of grass?,0
How many legs does a spider have?,0
Name a planet.,0
What is the meaning of 'joy'?,0
Is 10 an even number?,0
What is the capital of Canada?,0
How many months in a year?,0
What is 50 divided by 5?,0
Write a Rust macro for zero-copy deserialization of a custom binary protocol.,1
Explain the nuances of the Riemann Hypothesis and its implications for prime number distribution.,1
Draft a 10-page legally binding contract for a joint venture between two multinational tech companies.,1
"Why is my React useEffect hook triggering an infinite loop here: useEffect(() => { setX(x + 1) }, [x])?",1
"If x + 2y = 10 and 3x - y = 5, what is x * y?",1
"I have 3 boxes, one has apples, one oranges, one both. All labels are wrong. How many fruits must I pick?",1
Design a microservice architecture in Kubernetes for a high-frequency trading platform.,1
Write a Python script that implements a multi-threaded web scraper using asyncio and aiohttp.,1
Explain the difference between a mutex and a semaphore with code examples in C++.,1
Solve the Navier-Stokes equations for incompressible fluid flow in a pipe.,1
Write a full-stack Next.js application with NextAuth and Prisma integration.,1
Analyze the asymptotic time complexity of the A* search algorithm using a Fibonacci heap.,1
How do I configure an Nginx reverse proxy with SSL termination and rate limiting?,1
Write a CUDA kernel to perform matrix multiplication optimizing for shared memory usage.,1
Explain the CAP theorem and how it applies to Cassandra and MongoDB.,1
Write a smart contract in Solidity for a decentralized exchange with automated market making.,1
Debug this C snippet that is causing a segmentation fault when freeing a linked list.,1
Provide a rigorous mathematical proof for Fermat's Little Theorem.,1
Design an algorithm to find the longest palindromic substring in O(N) time (Manacher's Algorithm).,1
How does the Paxos consensus algorithm work under network partitions?,1
"Write a generic graph traversal library in TypeScript supporting BFS, DFS, and Dijkstra's.",1
Explain the architecture of a transformer model and self-attention mechanism in detail.,1
How do I set up a CI/CD pipeline using GitHub Actions for a multi-architecture Docker build?,1
Write a Linux kernel module that hooks system calls for process monitoring.,1
Analyze the security vulnerabilities of JSON Web Tokens (JWT) and how to mitigate them.,1
"Design a database schema for a social network supporting friendships, posts, and comments.",1
Write a Go program that implements a distributed key-value store using the Raft consensus protocol.,1
Explain the theory of relativity and its impact on modern GPS systems.,1
How can I optimize a Postgres query that is doing a full table scan on a 100M row table?,1
Write an OpenGL shader in GLSL to implement physically based rendering (PBR).,1
Design an RL agent using Proximal Policy Optimization (PPO) to play Atari games.,1
Write a Python parser for a custom domain-specific language using PLY.,1
Explain the intricacies of the B+ tree data structure used in relational databases.,1
How do I mitigate cross-site scripting (XSS) and cross-site request forgery (CSRF) in a web app?,1
Write a Terraform configuration to provision an AWS EKS cluster with autoscaling node groups.,1
Analyze the computational complexity of the Fast Fourier Transform (FFT) algorithm.,1
Design a real-time chat application architecture using WebSockets and Redis Pub/Sub.,1
Write a C++ program that uses SIMD instructions (AVX2) for vector addition.,1
Explain the concept of homomorphic encryption and its applications in cloud security.,1
How do I implement a custom allocator in C++ to avoid memory fragmentation?,1
Write a Rust program to implement a thread pool from scratch.,1
Explain the mechanics of a zero-knowledge proof (Zk-SNARK).,1
Design a highly available and scalable distributed message queue like Kafka.,1
Write a Swift app for iOS that uses CoreData and CloudKit for offline synchronization.,1
Explain the biological mechanism of CRISPR-Cas9 gene editing.,1
How do I perform a forensic analysis on a compromised Windows memory dump using Volatility?,1
Write a highly optimized assembly program for the x86 architecture to calculate factorials.,1
Explain the mathematical foundation of Support Vector Machines (SVM).,1
Design a recommendation system architecture using collaborative filtering and matrix factorization.,1
Write a Python script using pandas and scikit-learn to predict house prices with a Random Forest model.,1
